store_name,experience,total_sales,url,id,title,months_sales,price,profit,category,fecha_info,sold_products,mercado_lider,url_pagination
DELLPHOTO,13,972,https://articulo.mercadolibre.com.co/MCO-450457771-diadema-microfono-logitech-h390-usb-stereo-981-000014-_JM,MCO450457771,Diadema Microfono Logitech H390 Usb Stereo 981-000014,9,89900,23104300,Periféricos y Accesorios de PC,2018-09-10,257,0,https://computacion.mercadolibre.com.co/_Desde_351
ESSENTIA SAS,4,983,https://articulo.mercadolibre.com.co/MCO-462136394-combo-intel-i5-8600k-board-z370p-d3-ram-8-gb-_JM,MCO462136394,Combo Intel I5 8600k Board Z370p D3 Ram 8 Gb,9,2361999,9447996,Partes y Componentes de PC,2018-09-10,4,1,https://computacion.mercadolibre.com.co/_Desde_351
PYN COMPUSTAR,3,2,https://articulo.mercadolibre.com.co/MCO-463160421-windows-10-pro-office-2016-pro-3264bits-licencia-original-_JM,MCO463160421,Windows 10 Pro & Office 2016 Pro 32/64bits Licencia Original,2,50000,41400000,Software,2018-09-10,828,1,https://computacion.mercadolibre.com.co/_Desde_401
TULOIMPORTAS WEB,3,307,https://articulo.mercadolibre.com.co/MCO-467409290-impresora-multifuncional-epson-l396-tintas-originales-wifi-_JM,MCO467409290,Impresora Multifuncional Epson L396 Tintas Originales Wifi,3,599900,22796200,Impresoras,2018-09-10,38,0,https://computacion.mercadolibre.com.co/_Desde_401
VENTAS VAPERK,4,743,https://articulo.mercadolibre.com.co/MCO-465543749-logitech-c920-web-cam-hd-pro-viedo-chat-skipe-nueva-_JM,MCO465543749,Logitech C920 Web Cam Hd Pro Viedo Chat Skipe Nueva,7,199900,24187900,Periféricos y Accesorios de PC,2018-09-10,121,1,https://computacion.mercadolibre.com.co/_Desde_451
DRAGOTRONIX,17,5,https://articulo.mercadolibre.com.co/MCO-465543749-logitech-c920-web-cam-hd-pro-viedo-chat-skipe-nueva-_JM,MCO465543749,Logitech C920 Web Cam Hd Pro Viedo Chat Skipe Nueva,5,199900,24187900,Periféricos y Accesorios de PC,2018-09-10,121,1,https://computacion.mercadolibre.com.co/_Desde_451
CAPITALCOLOMBIABOG,10,224,https://articulo.mercadolibre.com.co/MCO-465543749-logitech-c920-web-cam-hd-pro-viedo-chat-skipe-nueva-_JM,MCO465543749,Logitech C920 Web Cam Hd Pro Viedo Chat Skipe Nueva,2,199900,24187900,Periféricos y Accesorios de PC,2018-09-10,121,1,https://computacion.mercadolibre.com.co/_Desde_451
COMPUMAC LTDA,8,292,https://articulo.mercadolibre.com.co/MCO-465543749-logitech-c920-web-cam-hd-pro-viedo-chat-skipe-nueva-_JM,MCO465543749,Logitech C920 Web Cam Hd Pro Viedo Chat Skipe Nueva,2,199900,24187900,Periféricos y Accesorios de PC,2018-09-10,121,1,https://computacion.mercadolibre.com.co/_Desde_451
RANYAVE IMPORTACIONES,4,548,https://articulo.mercadolibre.com.co/MCO-465543749-logitech-c920-web-cam-hd-pro-viedo-chat-skipe-nueva-_JM,MCO465543749,Logitech C920 Web Cam Hd Pro Viedo Chat Skipe Nueva,5,199900,24187900,Periféricos y Accesorios de PC,2018-09-10,121,1,https://computacion.mercadolibre.com.co/_Desde_451
CRAZYGAMMER.COM,2,1,https://articulo.mercadolibre.com.co/MCO-466392339-computador-ryzen-5-radeon-vega-1tb-8gb-pc-led-20-wifi-gratis-_JM,MCO466392339,Computador Ryzen 5 Radeon Vega 1tb 8gb Pc Led 20 Wifi Gratis,1,1699900,1699900,Computadores,2018-09-10,1,1,https://computacion.mercadolibre.com.co/_Desde_501
COLOMBIATECSAS,3,238,https://articulo.mercadolibre.com.co/MCO-466392339-computador-ryzen-5-radeon-vega-1tb-8gb-pc-led-20-wifi-gratis-_JM,MCO466392339,Computador Ryzen 5 Radeon Vega 1tb 8gb Pc Led 20 Wifi Gratis,2,1699900,1699900,Computadores,2018-09-10,1,1,https://computacion.mercadolibre.com.co/_Desde_501
